dataset,mc,fmc,fmc_plus,sasrec_plus,esasrec,seqrules,pctm
beauty,0.04917674433126107,0.048106803594069734,0.05307078848715795,0.0534401276957474,0.0510836943182292,0.060476680242953246,0.06351669441168159
sports,0.02512631269810142,0.024419411790984683,0.027098598520343724,0.0321395457658469,0.0319926837297193,0.03712569073678912,0.036794512955713954
toys,0.054778759467084166,0.05587542148653014,0.058792629210453654,0.058660948653839,0.0516333796365095,0.07299674545893094,0.07377001569106884
ml1m,0.12395592640437567,0.11243746963835269,0.12059315435877965,0.1654249327224325,0.1766740228171455,0.15049353711333982,0.18151569527641828
ml20m,0.10501182733980856,0.08065204572817027,0.1034127882319515,0.1813865144631605,0.1947600227309118,0.11152513006962173,0.14311938053078943
